line_id	section	field	source	visual_seed
L0001	NON_OBVIOUS_INSIGHTS	item_01	ai-prompting-and-description.md:L6	Visualize as one stark diagram: Prompting converts description into interface labor.
L0002	NON_OBVIOUS_INSIGHTS	item_02	ai-prompting-and-description.md:L10	Visualize as one stark diagram: The machine does not simply encourage richer description; it disciplines description.
L0003	NON_OBVIOUS_INSIGHTS	item_03	ai-prompting-and-description.md:L14	Visualize as one stark diagram: “Vibe” functions as a compression protocol.
L0004	NON_OBVIOUS_INSIGHTS	item_04	ai-prompting-and-description.md:L18	Visualize as one stark diagram: The apparent democratization of writerly skill conceals a new hierarchy.
L0005	NON_OBVIOUS_INSIGHTS	item_05	ai-prompting-and-description.md:L22	Visualize as one stark diagram: Prompting relocates authorship from composition to selection.
L0006	NON_OBVIOUS_INSIGHTS	item_01	ai-prompting-and-description.md:L81	Visualize as one stark diagram: Prompt engineering is being used as an epistemic escape hatch.
L0007	NON_OBVIOUS_INSIGHTS	item_02	ai-prompting-and-description.md:L85	Visualize as one stark diagram: The argument quietly changes the object being tested.
L0008	NON_OBVIOUS_INSIGHTS	item_03	ai-prompting-and-description.md:L89	Visualize as one stark diagram: “Good prompting” transfers production costs from the model provider to the user.
L0009	NON_OBVIOUS_INSIGHTS	item_04	ai-prompting-and-description.md:L93	Visualize as one stark diagram: Prompt expertise creates a defensible professional jurisdiction.
L0010	NON_OBVIOUS_INSIGHTS	item_05	ai-prompting-and-description.md:L97	Visualize as one stark diagram: The “slop” debate is displaced from political economy to technique.
L0011	NON_OBVIOUS_INSIGHTS	item_01	ai-prompting-and-description.md:L156	Visualize as one stark diagram: AI does not eliminate the studio; it internalizes the studio inside one person.
L0012	NON_OBVIOUS_INSIGHTS	item_02	ai-prompting-and-description.md:L160	Visualize as one stark diagram: The true productive asset is not generated content but the canon-management system.
L0013	NON_OBVIOUS_INSIGHTS	item_03	ai-prompting-and-description.md:L164	Visualize as one stark diagram: Transmedia becomes a discovery strategy before it becomes a storytelling form.
L0014	NON_OBVIOUS_INSIGHTS	item_04	ai-prompting-and-description.md:L168	Visualize as one stark diagram: The creator’s scarcity shifts from production capacity to editorial attention.
L0015	NON_OBVIOUS_INSIGHTS	item_05	ai-prompting-and-description.md:L172	Visualize as one stark diagram: Audience participation risks becoming unpaid canon production.
L0016	NON_OBVIOUS_INSIGHTS	item_01	ai-prompting-and-description.md:L235	Visualize as one stark diagram: The Odyssey defeats filmmakers because cinema externalizes what the poem keeps morally and ontologically unstable.
