line_id	entry_id	section	field	response	response_date	source	kernel_tokens_est	full_tokens_est	kernel	full
L1830	R001__SO_WHAT__Core_Implication__L50	SO_WHAT	Core_Implication	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L50	24	66	Treat prompt literacy as critical model literacy, not merely as a new form of creative writing.	Treat prompt literacy as critical model literacy, not merely as a new form of creative writing. People should learn to distinguish between describing what they perceive, invoking a cultural stereotype and adapting their language to a platform’s hidden conventions.
L1831	R001__SO_WHAT__Why_It_Matters__L54	SO_WHAT	Why_It_Matters	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L54	26	99	Without that distinction, users may mistake successful model control for improved expressive ability.	Without that distinction, users may mistake successful model control for improved expressive ability. Education would then train people to accommodate proprietary systems while calling the accommodation creativity. The practical priority is therefore to teach prompting alongside comparison, provenance, bias detection and reflection on what the model repeatedly refuses or fails to represent.
L1832	R002__SO_WHAT__Core_Implication__L125	SO_WHAT	Core_Implication	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L125	28	78	Evaluate generative AI at multiple prompting intensities rather than debating whether it is intrinsically bland.	Evaluate generative AI at multiple prompting intensities rather than debating whether it is intrinsically bland. At minimum, separate default prompting, competent everyday prompting and expert adversarial or iterative prompting—and report the human time, expertise and number of attempts required at each level.
L1833	R002__SO_WHAT__Why_It_Matters__L129	SO_WHAT	Why_It_Matters	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L129	44	100	Without this separation, model advocates can credit the system for expert human steering, while critics can mistake default behavior for the limit of the system’s output space.	Without this separation, model advocates can credit the system for expert human steering, while critics can mistake default behavior for the limit of the system’s output space. A tiered evaluation would reveal the operationally important question: not whether a distinctive result can eventually be produced, but how reliably, affordably and accessibly it can be produced under realistic conditions.
L1834	R003__SO_WHAT__Core_Implication__L204	SO_WHAT	Core_Implication	3	6/22/2026, 4:25:58 AM	ai-prompting-and-description.md:L204	28	73	Prioritize construction of a model-independent canon operating system before expanding into additional media.	Prioritize construction of a model-independent canon operating system before expanding into additional media. The essential artifact should be a structured source of truth containing entities, timelines, relationships, visual rules, provenance, unresolved contradictions, and approval status.
L1835	R003__SO_WHAT__Why_It_Matters__L208	SO_WHAT	Why_It_Matters	3	6/22/2026, 4:25:58 AM	ai-prompting-and-description.md:L208	13	94	AI makes expansion cheap enough to outrun coherence.	AI makes expansion cheap enough to outrun coherence. Without durable canon infrastructure, every new format multiplies contradictions, revision costs, platform dependencies, and abandoned commitments. A creator who controls the world model can replace tools and regenerate outputs; a creator who controls only a pile of outputs is dependent on the tools that produced them.
L1836	R004__SO_WHAT__Core_Implication__L283	SO_WHAT	Core_Implication	4	6/22/2026, 4:26:55 AM	ai-prompting-and-description.md:L283	20	76	Do not organize the adaptation around reproducing the Odyssey’s famous episodes.	Do not organize the adaptation around reproducing the Odyssey’s famous episodes. Organize it around preserving unresolved judgment: the audience must experience Odysseus as admirable, intimate, deceptive, brutal, wounded, and sovereign without the film announcing which interpretation should dominate.
L1837	R004__SO_WHAT__Why_It_Matters__L287	SO_WHAT	Why_It_Matters	4	6/22/2026, 4:26:55 AM	ai-prompting-and-description.md:L287	19	115	Spectacle is now technically abundant and therefore strategically secondary.	Spectacle is now technically abundant and therefore strategically secondary. The film succeeds only if its form prevents viewers from converting ancient contradiction into familiar moral categories. Monsters, storms, and battles can attract an audience, but the adaptation’s lasting value depends on whether it can make identification coexist with ethical revulsion. That is the element most likely to distinguish an epic from an expensive adventure franchise.
L1838	R005__SO_WHAT__Core_Implication__L362	SO_WHAT	Core_Implication	5	6/22/2026, 4:30:57 AM	ai-prompting-and-description.md:L362	21	89	Regulate AI deployment at the level of work organization, not merely model safety.	Regulate AI deployment at the level of work organization, not merely model safety. Require employers to disclose whether an AI system increases worker autonomy or converts skilled employees into monitored exception-handlers; measure staffing reductions, workload intensification, error responsibility, appeal rights, and changes in professional discretion.
L1839	R005__SO_WHAT__Why_It_Matters__L366	SO_WHAT	Why_It_Matters	5	6/22/2026, 4:30:57 AM	ai-prompting-and-description.md:L366	52	122	Debates about whether models are intelligent, biased, accurate, or environmentally costly can leave the decisive institutional choice untouched: who captures the productivity gain and who absorbs the risk.	Debates about whether models are intelligent, biased, accurate, or environmentally costly can leave the decisive institutional choice untouched: who captures the productivity gain and who absorbs the risk. A technically competent system can still produce reverse centaurs, while a technically weak system can still discipline labor through the threat of replacement. Governance must therefore target allocation of power rather than wait for a definitive verdict on technical performance.
