line_id	entry_id	section	field	response	response_date	source	kernel_tokens_est	full_tokens_est	kernel	full
L0001	R001__NON_OBVIOUS_INSIGHTS__ITEM_01__L6	NON_OBVIOUS_INSIGHTS	item_01	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L6	13	89	Prompting converts description into interface labor.	Prompting converts description into interface labor. The user is not merely expressing an image but reverse-engineering an opaque system: testing adjectives, observing failures and adapting language to undocumented model behavior. What appears to be revived literary practice is also unpaid usability work that helps normalize poorly legible interfaces.
L0002	R001__NON_OBVIOUS_INSIGHTS__ITEM_02__L10	NON_OBVIOUS_INSIGHTS	item_02	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L10	22	85	The machine does not simply encourage richer description; it disciplines description.	The machine does not simply encourage richer description; it disciplines description. Users learn which words produce visible effects and gradually abandon distinctions the model cannot reliably render. Prompting therefore risks reshaping expressive language around machine-recognizable categories rather than expanding human sensitivity.
L0003	R001__NON_OBVIOUS_INSIGHTS__ITEM_03__L14	NON_OBVIOUS_INSIGHTS	item_03	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L14	11	86	“Vibe” functions as a compression protocol.	“Vibe” functions as a compression protocol. Terms such as “cozy,” “cinematic,” or “melancholic” do not precisely describe atmosphere. They invoke bundles of visual conventions learned from training data. Prompt literacy may consequently become less like modernist observation and more like fluency in culturally standardized aesthetic presets.
L0004	R001__NON_OBVIOUS_INSIGHTS__ITEM_04__L18	NON_OBVIOUS_INSIGHTS	item_04	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L18	18	92	The apparent democratization of writerly skill conceals a new hierarchy.	The apparent democratization of writerly skill conceals a new hierarchy. Advantage goes not necessarily to the most perceptive describer, but to the person who understands model-specific syntax, dominant visual references and iterative workflows. Literary competence, platform literacy and access to computation become entangled but are treated as the same ability.
L0005	R001__NON_OBVIOUS_INSIGHTS__ITEM_05__L22	NON_OBVIOUS_INSIGHTS	item_05	1	6/22/2026, 4:17:51 AM	ai-prompting-and-description.md:L22	16	87	Prompting relocates authorship from composition to selection.	Prompting relocates authorship from composition to selection. Because the model supplies details the user never articulated, the decisive creative act increasingly becomes judging, rejecting and steering outputs. The article frames prompting as descriptive writing but underexamines the curatorial labor that actually determines the final image.
L0006	R002__NON_OBVIOUS_INSIGHTS__ITEM_01__L81	NON_OBVIOUS_INSIGHTS	item_01	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L81	16	104	Prompt engineering is being used as an epistemic escape hatch.	Prompt engineering is being used as an epistemic escape hatch. By arguing that bland results reflect weak prompting, the article makes almost any criticism of generative AI unfalsifiable. Whenever a model produces homogenized output, responsibility can be reassigned to the experimenter for failing to discover the right incantation. This protects the underlying system from evaluation under ordinary use conditions.
L0007	R002__NON_OBVIOUS_INSIGHTS__ITEM_02__L85	NON_OBVIOUS_INSIGHTS	item_02	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L85	14	118	The argument quietly changes the object being tested.	The argument quietly changes the object being tested. Research claiming that models regress toward conventional or average outputs usually investigates the system’s default tendencies. The article responds by proposing intensive user intervention. But a highly engineered human-model workflow is not the same object as the model operating under normal prompting. Prompting may compensate for homogenization without disproving that homogenization is structurally present.
L0008	R002__NON_OBVIOUS_INSIGHTS__ITEM_03__L89	NON_OBVIOUS_INSIGHTS	item_03	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L89	20	114	“Good prompting” transfers production costs from the model provider to the user.	“Good prompting” transfers production costs from the model provider to the user. The user must supply specificity, alternatives, exclusions, style constraints, evaluation criteria and repeated corrections. The apparent creative capacity of the model therefore depends partly on concealed human labor. Calling the result an AI capability blurs the distinction between what the system generates autonomously and what the user painstakingly extracts from it.
L0009	R002__NON_OBVIOUS_INSIGHTS__ITEM_04__L93	NON_OBVIOUS_INSIGHTS	item_04	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L93	16	108	Prompt expertise creates a defensible professional jurisdiction.	Prompt expertise creates a defensible professional jurisdiction. The article does more than defend generative AI; it elevates prompt engineering as the missing specialist competence required to judge it properly. This establishes a gatekeeping structure in which critics without advanced prompting experience can be dismissed as methodologically naïve, while prompt consultants become necessary interpreters of system performance.
L0010	R002__NON_OBVIOUS_INSIGHTS__ITEM_05__L97	NON_OBVIOUS_INSIGHTS	item_05	2	6/22/2026, 4:20:27 AM	ai-prompting-and-description.md:L97	17	109	The “slop” debate is displaced from political economy to technique.	The “slop” debate is displaced from political economy to technique. Homogeneous AI content may result not only from prompting but from shared training corpora, optimization toward broadly acceptable responses, safety tuning, engagement incentives and the industrial scaling of cheap content. By centering user technique, the article turns a structural question about mass production into an individual question about operational skill.
